0.727	0.728	0.729	0.73	0.731	0.732	0.735	0.732
0.600	0.606	0.612	0.618	0.624	0.631	0.632	0.638
0.519	0.527	0.535	0.542	0.549	0.559	0.560	0.569
0.470	0.477	0.485	0.492	0.498	0.508	0.509	0.518
0.440	0.446	0.452	0.458	0.464	0.473	0.474	0.483
0.421	0.426	0.431	0.436	0.441	0.449	0.449	0.458
0.411	0.415	0.419	0.423	0.427	0.434	0.434	0.442
0.403	0.404	0.407	0.412	0.415	0.421	0.421	0.428
0.395	0.397	0.401	0.403	0.407	0.412	0.411	0.417
0.391	0.394	0.396	0.399	0.402	0.407	0.406	0.412
0.389	0.392	0.392	0.394	0.397	0.401	0.403	0.405
