0.680	0.681	0.682	0.683	0.684	0.684	0.688	0.684
0.577	0.583	0.588	0.593	0.597	0.603	0.604	0.609
0.510	0.516	0.523	0.529	0.535	0.543	0.544	0.552
0.466	0.473	0.479	0.485	0.491	0.500	0.500	0.509
0.438	0.444	0.450	0.455	0.460	0.469	0.469	0.478
0.420	0.425	0.429	0.434	0.439	0.446	0.446	0.454
0.410	0.414	0.418	0.422	0.426	0.433	0.433	0.440
0.403	0.404	0.407	0.411	0.415	0.420	0.420	0.427
0.394	0.397	0.40	0.403	0.407	0.411	0.411	0.417
0.391	0.394	0.396	0.398	0.401	0.407	0.406	0.411
0.389	0.392	0.392	0.394	0.396	0.400	0.403	0.405
