0.628	0.628	0.629	0.63	0.63	0.630	0.634	0.63
0.55	0.554	0.558	0.562	0.565	0.570	0.570	0.574
0.497	0.502	0.507	0.512	0.517	0.524	0.524	0.53
0.46	0.465	0.471	0.476	0.481	0.488	0.488	0.495
0.435	0.44	0.445	0.45	0.455	0.462	0.462	0.469
0.418	0.423	0.427	0.431	0.436	0.442	0.442	0.449
0.41	0.413	0.417	0.421	0.425	0.431	0.430	0.437
0.403	0.403	0.407	0.41	0.414	0.419	0.418	0.425
0.394	0.397	0.4	0.403	0.406	0.410	0.410	0.416
0.391	0.394	0.396	0.398	0.401	0.406	0.405	0.411
0.389	0.392	0.392	0.394	0.396	0.400	0.402	0.404
