7874,11019,3114,9453,257
7876,11021,3113,10046,237
7877,11022,3114,8977,250
7878,11021,3113,9095,238
7879,11021,3117,9016,243
7881,11022,3111,8762,273
12654,11008,3123,18422,328
14522,11018,3128,6744,367
22921,11022,3132,20497,316
22922,11014,3135,20055,328
22923,11018,3137,18483,337
22927,11010,3138,20506,287
22928,11022,3139,20316,268
22929,11009,3143,21849,259
42337,11021,3136,17728,279
42338,11009,3134,18805,267
42339,11001,3126,17287,282
42340,11001,3135,16315,289
42341,11009,3126,16440,298
42342,11018,3127,16538,271
42343,11009,3136,17072,271
42345,11023,3137,17273,292
42346,11000,3127,16648,282
42353,10999,3139,16494,278
42355,10993,3133,16236,263
46236,11024,3138,3550,198
47442,11029,3128,8164,229
50663,11006,3140,5538,270
50664,11017,3134,6400,227
58033,11009,3116,7058,290
58034,11000,3126,6889,310
58035,10996,3118,6879,290
58036,11002,3120,6694,299
58037,11007,3121,6988,288
58038,11007,3113,6567,301
58039,11002,3117,6948,296
58040,11010,3121,7230,294
58041,11009,3126,6611,319
58042,11014,3117,6605,311
58043,10996,3117,7025,294
58044,10997,3126,7250,298
58045,10992,3128,7499,288
58046,10999,3129,7476,299
58047,10992,3127,7131,296
58048,11003,3124,6648,306
58049,10995,3132,7499,289
58050,11001,3126,7095,305
58054,10993,3123,7527,291
58056,10992,3122,7554,292
58057,10996,3125,7884,288
58058,10994,3132,7819,287
58059,10997,3129,7370,284
58060,11001,3121,7463,278
58061,11003,3120,7038,279
58062,11001,3120,7254,279
58063,11001,3120,7149,297
58064,11001,3127,7675,287
58065,11003,3111,7448,278
58066,11000,3124,7140,268
58067,10997,3124,7579,273
58068,11000,3122,7662,280
58069,11003,3121,6580,305
58070,11016,3111,6277,283
58072,11009,3108,6596,288
58073,11004,3113,6400,285
58074,11006,3108,6274,276
58077,11008,3111,6269,284
58078,11004,3117,6782,273
58082,11003,3119,6908,279
58083,11001,3112,6689,280
58085,11014,3115,6643,288
58086,11010,3114,6738,274
58087,11012,3115,6236,288
58088,11000,3117,6601,279
58089,11005,3111,6635,298
58657,11030,3123,6941,300
58659,11009,3130,7356,234
58660,11016,3133,6405,265
58661,11030,3132,6937,278
58662,11028,3133,7259,286
58670,11025,3132,6698,282
58671,11012,3129,6657,254
58672,11008,3130,6986,270
58674,11016,3131,7137,241
58675,11018,3134,7773,233
58676,11028,3131,7418,220
60124,11010,3127,8110,406
60137,10993,3128,9658,260
60151,10993,3121,8964,248
60156,10998,3127,4672,227
60157,10998,3137,9670,300
60162,10998,3123,9258,269
60165,10995,3119,10326,281
60166,10993,3125,9936,258
67632,11021,3126,6068,211
67633,11025,3131,6061,223
67634,11018,3126,6079,210
67635,11018,3129,5987,218
67636,11022,3127,6068,209
67637,11027,3127,6157,208
5830,10874,3875,17773,385
5831,10879,3879,13794,483
10227,10890,3852,16398,321
21002,10887,3873,11204,277
21003,10878,3884,4231,259
24750,10878,3885,2852,205
24754,10887,3885,2389,227
24757,10892,3875,3291,212
27807,10893,3868,11456,297
27808,10901,3862,12262,319
35964,10892,3862,6672,213
39021,10897,3871,9024,258
39022,10892,3871,7982,247
39023,10893,3865,8564,235
39024,10896,3875,8781,243
39025,10887,3870,9110,246
39026,10888,3872,8916,232
39027,10886,3866,8910,242
39028,10884,3870,8564,241
39029,10882,3874,9162,234
39030,10886,3870,8724,241
39031,10881,3866,8705,236
39032,10886,3865,9115,222
39033,10887,3867,9060,224
39034,10890,3874,8254,280
39035,10881,3872,8786,220
39036,10895,3867,7995,231
39037,10886,3874,8045,237
39038,10887,3868,8343,246
39039,10887,3869,8965,231
