1.9786,3.8223,5.9575,7.6412,8.2161,8.0437,7.8214,8.3739,9.9748,12.217,14.345,15.683,15.932,15.298,14.105,12.957,12.96,13.962,15.841,17.266,17.21,15.418,13.189,11.703,11.668,13.25,16.612,21.252,27,33.738,39.479,43.12,46,46.339,45.292,43.602,42.897,41.336,40.215,40.61,40.064,36.513,32.438,28.14,25.248,23.678,25.229,27.393,30.1,32.144,31.989,29.648,27.132,26.429,28.174,33.425,41.527,48.113,52.784,54.454,52.288,46.762,41.601,38.881,37.896,36.79,34.942,30.978,26.892,25.015,25.736,26.714,28.261,29.87,33.717,39.681,46.665,51.345,50.863,45.828,38.687,31.642,26.803,25.093,27.298,31.366,37.821,42.712,44.567,43.33,40.158,36.615,33.348,30.707,29.317,27.12,25.771,24.895,25.16,27.547,30.841,34.442,37.621,38.565,37.464,34.437,30.636,26.939,24.235,24.886,29.79,38.93,50.035,61.153,69.167,73.085,72.711,68.506,60.847,51.408,42.927,37.145,32.776,32.245,33.708,35.9,36.657,35.318,32.473,29.01,26.301,25.858,26.181,26.556,25.867,24.169,22.015,19.554,17.386,15.171,13.23,12.094,12.192,12.989,14.148,14.502,14.248,14.054,14.695,16.964,21.512,27.221,32.676,35.978,35.198,30.479,24.045,18.348,13.908,10.635,8.2631,5.7834,3.3298,1.7026
5.2006,9.9062,15.313,19.74,21.709,21.899,21.709,22.756,25.782,30.001,33.99,36.496,36.953,35.779,33.571,31.522,31.413,33.12,36.318,38.679,38.542,35.63,32.139,30.045,30.45,33.408,38.897,46.182,55.06,64.995,73.426,78.535,82.114,82.145,80.367,77.961,76.946,74.963,73.556,74.068,73.463,69.007,64.013,58.929,55.676,54.105,56.51,59.76,63.693,66.691,66.431,62.885,58.934,57.667,60.225,68.277,80.576,90.587,97.468,99.831,96.548,88.558,81.113,76.96,75.161,73.248,70.375,64.36,58.166,55.381,56.628,58.439,61.301,64.151,70.124,79.18,90.116,97.719,97.774,90.92,80.47,69.751,62.151,59.321,62.636,68.935,78.784,85.978,88.453,86.407,81.766,76.927,72.744,69.166,67.283,63.748,61.295,59.651,60.101,64.181,69.918,75.982,81.294,82.742,80.936,75.857,69.435,63.039,57.976,58.156,65.179,78.505,94.882,110.51,121.43,126.33,125.45,119.83,109.78,96.959,85.247,76.562,69.904,68.688,70.729,74.152,75.505,73.546,69.494,64.373,60.559,60.279,61.177,61.711,60.18,56.844,52.709,47.996,43.855,39.613,35.931,33.836,34.068,35.54,37.53,37.904,37.124,36.513,37.556,41.376,48.847,58.046,66.407,71.214,69.604,61.958,51.731,42.572,34.928,28.525,22.811,16.431,9.9046,5.2059
9.9813,19.07,29.645,38.691,43.486,44.884,45.083,46.682,51.127,57.358,63.282,67.027,67.754,66.115,62.959,60.165,59.981,62.44,67.001,70.374,70.416,66.849,62.594,60.281,61.297,65.537,72.563,81.558,92.374,104.06,114.13,120.18,124.14,124.13,122.09,119.48,118.37,116.5,115.25,115.97,115.65,111.31,106.65,102.24,99.785,98.927,101.81,105.41,109.56,112.74,112.29,108.06,103.24,101.55,104.59,114.5,129.61,142.1,150.63,153.71,149.94,140.71,131.87,126.4,123.51,120.66,117.14,110.01,102.68,99.529,101.29,103.96,108.14,112.19,119.63,130.55,144.18,153.99,155.15,148.07,136.19,123.42,113.99,110.23,114.08,121.74,133.66,142.07,144.67,142.01,136.65,131.53,127.62,123.99,122.23,117.92,114.57,112.22,112.78,118.25,126.09,134.13,141.19,142.93,140.54,133.76,125.21,116.49,109.05,108.07,115.74,130.95,150,167.61,179.74,184.86,183.75,177.81,167.23,153.12,139.96,129.35,121.06,118.94,120.93,124.87,126.58,124.26,119.93,114.27,110.48,110.94,112.66,113.18,110.51,105.26,98.996,91.895,85.721,79.298,73.757,70.601,70.847,72.858,75.479,75.636,74.086,72.822,74.108,79.152,88.867,100.62,110.73,116.13,113.48,103.49,90.421,78.58,67.888,57.737,47.094,34.552,21.411,11.413
17.076,31.822,48.763,63.501,72.109,75.478,76.464,78.432,83.642,90.919,97.81,102.14,102.93,101.08,97.54,94.653,94.663,97.779,103.29,107.47,108.08,104.93,101.04,99.338,101.16,106.28,113.67,122.63,133.14,144.14,153.83,159.87,163.79,164.3,162.89,161.01,160.32,159.23,158.59,159.54,159.83,156.72,153.57,151.03,150.09,150.15,152.7,155.6,158.81,161.36,161.02,157.36,153.04,151.49,154.44,164.18,179.23,192.1,201.19,205.07,202.14,193.89,185.43,179.46,175.76,172.27,168.79,162.06,155.07,152.12,153.88,156.94,161.86,166.65,174.37,185.1,198.71,208.78,211.05,205.51,194.82,182.76,173.55,169.84,173.82,181.73,193.51,201.37,203.26,200.09,194.75,190.24,187.5,184.73,183.7,179.7,176.25,173.79,174.48,180.48,189.2,197.88,205.45,207.04,204.33,196.81,187.54,177.97,169.39,167.2,173.66,187.24,204.73,220.63,231.86,236.79,236.31,231.55,222.48,209.51,197.03,186.07,177.37,174.42,175.56,178.93,180.59,178.48,175.13,170.44,167.83,169.09,171.19,171.26,167.49,160.97,153.52,145.15,137.94,130.3,123.75,119.96,120.04,121.97,124.35,123.77,121.26,119.23,120.34,125.53,135.52,147.37,156.93,161.56,158.2,147.8,134.48,122.16,109.64,95.9,79.364,59.003,37.281,20.054
24.605,45.042,68.289,88.776,101.61,107.46,109.52,111.49,116.41,123.3,129.85,134.06,134.97,133.57,130.61,128.47,128.95,132.44,138.35,143.19,144.86,143.23,140.66,139.92,142.08,147.03,153.35,160.56,168.84,177.29,185.02,190.32,194.04,195.55,195.46,194.98,195.22,195.42,195.83,197.24,198.41,197.09,195.91,195.48,196.02,196.86,198.55,200.13,201.77,203.19,203.18,200.89,198.09,197.16,199.65,207.58,220.03,231.32,239.92,244.53,243.63,238.36,232.07,226.77,222.95,219.36,216.41,211.18,205.66,203.21,204.29,206.95,211.59,216.36,223.28,232.16,243.23,251.49,254.12,250.9,243.42,234.63,227.7,225.01,228.57,235.46,245.07,251.14,252.1,248.87,244.09,240.43,238.9,237.36,237.48,235.1,232.85,231.2,231.99,237.3,245.06,252.58,259.17,260.44,258.02,251.42,243.61,235.34,227.39,224.37,228.08,237.04,249.29,260.78,269.65,274.3,275.26,272.53,265.82,255.2,244.71,234.8,226.97,223.63,223.45,225.23,226.2,224.63,222.86,219.94,218.87,220.34,222.05,221.48,217.41,211.1,204.15,196.31,189.49,182.15,175.92,172.2,171.86,172.94,174.13,172.53,169.19,166.47,166.83,170.83,178.87,188.31,195.38,198.31,194.87,186.02,174.88,164.22,151.41,135.07,113.1,84.968,54.522,29.54
31.687,56.88,85.148,110.12,126.44,134.4,137.35,138.97,142.84,148.33,153.57,157.05,158,157.36,155.6,154.67,155.81,159.4,165.19,170.36,173.15,173.41,172.51,172.85,175.07,179.41,184.44,189.71,195.57,201.28,206.63,210.67,213.72,215.82,216.92,217.86,219.26,220.79,222.28,224.13,225.94,226.11,226.43,227.39,228.81,230.01,230.81,231.23,231.6,232.12,232.67,232.01,231.13,231.02,232.89,238.35,247.14,255.84,263.3,268.22,269.41,267.46,263.97,260.24,257.17,254.22,252.1,248.72,245.02,243.13,243.25,245.03,248.66,252.88,258.63,265.25,272.78,278.22,280.33,279.02,275,270.22,266.4,265.2,268.26,273.69,280.49,284.52,284.63,281.51,277.28,274.07,273.04,272.43,273.54,273.27,272.98,272.85,273.83,277.78,283.38,288.66,293.26,294.15,292.45,287.82,282.8,277.16,271.14,268,268.83,272.55,278.61,285.1,291.25,295.62,298.13,297.28,292.6,284.27,275.85,267.61,261.25,258.01,256.63,256.63,256.72,255.83,255.47,254.19,254.14,255.02,255.72,254.7,251.27,246.42,241.12,235.01,229.55,223.64,218.78,215.68,214.8,214.5,213.94,211.34,207.64,204.69,204.23,206.46,211.52,217.4,221.37,222.51,219.48,213,204.95,196.85,184.77,167.05,141.12,106.84,69.333,37.739
37.504,66.106,97.621,125.19,143.46,152.5,155.86,156.99,159.83,163.96,167.98,170.95,172.14,172.38,171.83,171.79,173.26,176.56,181.88,187.11,190.67,192.35,192.64,193.62,195.75,199.57,203.97,208.34,212.89,216.85,220.28,222.88,224.61,226.31,227.8,229.68,232.12,234.77,237.14,239.29,241.33,242.43,243.61,245.14,246.83,248.16,248.55,248.58,248.61,249.01,250.27,250.94,251.58,252,253.18,256.41,261.75,267.77,273.76,278.38,280.94,281.54,280.55,278.69,276.81,274.96,273.66,271.76,269.52,267.99,267.21,268.01,270.42,274.01,278.85,283.84,288.5,291.45,292.75,292.61,291.3,289.76,288.39,288.17,290.32,294.02,298.3,300.73,300.4,297.68,294.1,291.29,290.5,290.76,292.83,294.64,296.35,297.56,298.41,300.6,303.62,306.48,309.02,309.85,309.3,307.21,305.28,302.38,298.35,295.29,293.85,293.6,294.81,297.38,300.94,304.51,307.71,308.01,304.85,298.56,292.12,285.72,280.93,278.09,276.03,274.71,273.99,273.4,273.5,273,273.1,273.17,273.19,272.29,270.03,266.82,263.01,258.53,254.27,250,246.68,244.23,242.75,241.04,238.91,235.69,232.09,229.35,228.28,228.98,231.45,234.36,235.99,235.95,233.48,228.97,223.34,217.19,205.71,187.06,158.45,120.16,78.268,42.569
42.134,72.994,106.26,134.76,153.47,162.51,165.74,166.35,168.47,171.66,174.93,177.85,179.55,180.73,181.29,181.75,183.17,185.83,190.25,195.02,198.61,200.92,201.9,203.33,205.65,209.34,213.79,218.18,222.52,226,228.55,230.24,230.84,231.65,232.92,235.02,238.01,241.23,244.08,246.49,248.45,249.85,251.17,252.45,253.78,254.88,255.17,255.47,255.9,256.83,258.87,260.58,262.35,263.17,263.96,265.54,268.14,271.75,276.18,280.08,283.25,285.31,285.85,285.11,283.91,282.84,282.28,281.54,280.61,279.54,278.32,278.42,279.82,282.87,286.89,290.77,293.6,295.06,296.12,297.08,297.87,298.52,298.66,298.67,299.48,301.21,303.08,303.95,303.28,301.28,298.93,297.2,297.27,298.7,301.76,305.22,308.39,310.28,310.52,310.73,311.12,311.65,312.31,313.35,314.28,314.95,316.01,315.53,312.99,309.65,306.25,303.32,301.26,301.36,303.09,305.92,309.18,310.01,307.84,303.15,298.24,293.47,290.02,287.64,285.3,283.25,282,281.47,281.54,281.41,281.38,280.98,280.98,280.59,279.51,277.49,274.46,270.82,267.11,264.04,261.81,259.89,258.06,255.4,252.07,248.42,244.97,242.49,241.03,240.81,241.54,242.44,242.51,241.7,239.57,236.32,232.23,227.28,216.2,197.05,166.87,126.36,82.296,44.617
44.591,76.597,110.65,139.34,158.03,166.94,170.03,170.13,171.55,173.88,176.49,179.41,181.64,183.59,185.04,185.8,187.04,188.98,192.39,196.46,199.83,202.55,204.14,206,208.66,212.24,216.87,221.78,227,231.62,234.85,236.74,236.76,236.28,236.46,237.75,240.44,243.5,246.38,248.87,250.44,251.55,252.24,252.5,252.81,253.42,254.03,255.3,256.96,258.97,261.61,263.7,265.92,267.31,268.68,270.3,272.31,274.97,278.33,281.19,283.94,286.17,287.3,287.53,287.2,286.73,286.24,285.53,284.86,283.86,282.39,281.9,282.28,284.58,288.05,291.8,294.41,295.77,296.82,297.98,299.32,300.49,301,300.91,300.76,301.15,301.73,302.01,301.68,300.62,299.26,298.11,298.44,300.47,304.2,308.8,312.87,314.78,314.04,312.44,310.77,309.62,309.07,310.37,312.42,315.08,318.24,319.59,318.43,315.43,311.58,307.97,304.84,303.81,304.02,305.42,307.68,308.24,306.74,303.58,300.18,296.77,294.18,291.97,289.5,287.11,285.55,284.77,284.19,283.94,283.67,283.39,283.92,284.2,283.68,281.79,278.51,274.83,271.09,268.83,267.3,265.87,263.94,260.82,256.74,252.88,249.68,247.51,245.86,245.17,244.95,244.85,244.39,243.55,241.7,238.94,235.33,230.42,219,199.04,167.66,126,81.451,43.732
45.669,78.074,112.32,140.8,159.21,167.92,170.92,170.86,172.05,174.08,176.6,179.75,182.44,184.81,186.68,187.46,188.38,189.65,192.07,195.2,197.97,200.76,203.01,205.59,209.1,212.89,217.63,222.87,228.85,234.96,239.66,242.8,243.31,242.08,241.13,241.18,243.04,245.68,248.35,250.86,251.86,252.4,252.49,252.13,251.97,252.41,253.3,255.1,257.29,259.83,262.58,264.78,267.24,269.3,271.65,274.01,276.55,279.23,282.15,284.3,286.34,288,288.62,288.6,288.09,287.26,286.4,285.33,284.73,284.14,283.12,282.63,282.57,284.28,287.03,290.55,293.58,295.79,297.72,299.45,300.96,301.65,301.61,300.96,300.05,299.63,299.53,299.53,299.62,299.6,299.46,299.38,300.45,302.88,306.7,311.2,314.92,316.2,314.88,312.77,310.59,308.95,307.94,309.15,311.58,314.94,318.66,320.45,319.43,316.2,312.12,308.59,305.6,304.31,303.69,304.12,305.56,306.3,306.23,305.18,303.47,301.06,298.71,296.09,293.16,290.57,288.95,287.89,286.85,286.69,286.69,287.34,289.13,290.22,289.48,286.33,281.43,276.39,271.57,269.01,267.14,265.61,263.73,260.87,256.91,253.25,250.31,248.36,246.69,245.91,245.29,244.78,244.04,243.17,241.36,238.79,235.37,230.17,218.22,197.29,164.72,122.4,78.103,41.356
