22.114,25.812,27.99,28.35,27.284,24.961,22.704,21.062,20.352,20.143,21.807,23.9,26.628,29.8,32.419,35.056,37.456,40.786,44.535,48.886,53.648,58.658,64.177,67.886,70.337,71.732,70.712,69.571,68.766,68.723,70.127,73.368,77.856,82.869,88.1,92.741,96.449,99.557,101.06,102.66,103.35,103.93,104.18,102.68,100.56,97.598,94.559,90.987,87.087,83.664,80.619,79.379,78.84,79.3,80.031,81.993,83.998,85.338,85.88,86.15,84.815,83.692,83.108,82.326,82.591,85.43,88.779,93.501,98.956,103.4,105.61,105.1,102.34,98.377,93.059,88.639,85.678,84.041,83.35,83.866,83.887,82.905,84.164,84.679,86.809,88.771,91.802,94.741,96.609,97.649,98.435,98.368,99.308,100.78,102.14,102.21,103.33,102.16,101.18,99.649,97.655,95.901,95.092,93.915,93.895,92.74,91.437,90.019,88.538,86.485,84.959,83.097,81.155,79.19,76.593,74.045,71.785,69.721,68.854,69.056,70.25,72.193,73.749,74.665,74.524,73.559,72.533,73.03,73.875,76.221,78.93,82.638,85.846,88.072,89.45,90.892,91.788,92.161,92.877,93.183,92.257,90.328,86.994,83.617,79.606,77.071,75.907,75.752,76.1,76.146,74.68,69.626,61.582,50.786,39.037,27.42,17.363,9.7637,4.4362,1.6896,0.39327,0.15068
36.182,40.837,43.54,43.87,42.331,39.208,36.24,34.342,33.773,33.885,36.527,39.846,43.961,48.574,52.598,56.37,59.765,64.111,68.797,74.058,79.742,85.795,92.719,97.51,101,103.51,102.98,102.38,102.25,102.8,104.99,109.33,115.06,121.24,127.69,133.39,138.08,142.01,143.93,146.13,146.97,147.64,147.98,146.32,143.97,140.68,137.43,133.47,128.93,124.81,121.01,119.31,118.35,118.94,119.91,122.5,125.17,127.09,127.99,128.43,126.76,125.49,124.83,124.03,124.28,127.68,131.46,136.85,143.14,148,150.28,149.63,146.67,142.58,136.98,132.57,129.72,128.33,127.73,128.38,128.12,126.41,127.52,127.69,129.89,131.9,135.39,138.81,140.93,142.22,143.26,143.22,144.4,146.32,148.17,148.63,150.3,149.12,148.27,146.54,143.9,141.69,140.47,138.72,138.54,137.13,135.64,133.98,132.2,129.87,127.93,125.27,122.62,119.99,116.31,112.88,109.98,107.33,105.96,106.09,107.41,109.63,110.96,111.52,110.76,108.8,106.92,107.04,107.77,110.74,114.5,119.95,124.64,128.08,130.29,132.49,133.67,134.1,134.97,135.38,134.42,132.22,128.32,124.26,119.29,116.03,114.35,113.82,113.8,113.37,110.82,103.68,92.578,77.698,61.404,45.06,30.611,19.193,10.75,5.7581,2.8542,1.6322
51.914,57.857,61.502,62.14,60.306,56.486,52.795,50.61,50.195,50.755,54.665,59.718,65.806,72.41,78.45,83.712,88.391,93.795,99.177,104.88,110.93,117.48,125.2,130.68,135,138.58,138.76,138.99,139.86,141.27,144.41,149.86,156.73,163.86,171.22,177.76,183.15,187.68,189.95,192.75,193.74,194.55,195.02,193.42,191.07,187.69,184.47,180.45,175.62,171.13,166.91,164.95,163.73,164.61,165.92,169.09,172.42,174.93,176.24,176.86,174.75,173.34,172.47,171.4,171.27,174.68,178.26,183.68,190.22,195.03,197.13,196.53,193.84,190.21,184.91,181.01,178.66,177.67,177.24,178.1,177.5,175.13,175.97,175.71,177.63,179.4,183.15,186.83,189.23,191,192.41,192.55,193.91,196.16,198.22,198.83,200.86,199.7,199.1,197.37,194.35,191.98,190.6,188.67,188.52,187.13,185.73,184.01,182.08,179.53,177,173.44,169.95,166.44,161.56,157.23,153.72,150.6,148.62,148.58,149.87,152.03,152.65,152.51,150.61,147.28,144.31,143.72,144.14,147.64,152.4,159.72,165.93,170.55,173.61,176.43,177.64,178.06,178.97,179.53,178.86,176.89,173.06,169.01,163.66,160.07,158.15,157.22,156.66,155.52,151.63,142.34,128.23,109.35,88.516,67.343,48.188,32.395,20.145,12.109,6.8569,4.0509
72.882,79.266,83.214,83.755,81.422,76.955,72.664,70.351,70.26,71.454,76.563,83.299,91.086,99.304,107.19,113.55,119.19,125.15,130.72,136.34,142.29,148.77,156.83,162.75,167.79,172.57,173.83,175.29,177.66,180.24,184.59,191.15,199,206.72,214.61,221.49,227.21,231.91,234.26,237.35,238.25,238.97,239.34,237.84,235.53,232.25,229.28,225.51,220.84,216.48,212.45,210.65,209.57,211.09,212.87,216.5,220.16,223.01,224.46,225.02,222.56,221.27,220.59,219.82,219.67,223.15,226.34,231.32,237.38,241.42,242.94,242.38,240.37,237.89,233.76,231.18,229.9,229.68,229.36,230.19,229.02,225.82,225.97,225.03,226.39,227.82,231.65,235.5,238.2,240.52,242.37,242.88,244.38,246.8,248.95,249.74,251.93,250.85,250.48,248.78,245.42,242.93,241.33,239.21,238.98,237.59,236.32,234.54,232.43,229.75,226.66,222.26,218.19,214.22,208.66,203.99,200.41,197.12,194.63,194.19,194.99,196.48,195.78,194.49,191.19,186.4,182.31,180.81,180.65,184.29,189.76,198.51,205.92,211.54,215.36,218.7,219.86,220.32,221.26,222.08,221.98,220.62,217.35,213.76,208.56,204.84,202.72,201.33,200.12,198.22,193.11,182.19,165.82,143.85,119.25,93.773,70.009,49.512,32.829,20.897,12.482,7.4007
93.544,100.5,104.99,105.86,103.35,98.621,93.94,91.598,91.808,93.511,99.513,107.67,116.77,126.2,135.58,142.79,149.3,155.87,161.63,167.16,172.91,179.1,186.95,192.87,198.05,203.52,205.67,208.21,212.1,215.86,221.34,228.78,237.25,245.08,252.96,259.73,265.35,270.04,272.53,275.96,277.01,277.84,278.36,277.32,275.32,272.44,269.97,266.66,262.48,258.51,254.87,253.29,252.4,254.45,256.74,260.76,264.72,268.01,269.82,270.55,268.11,267.09,266.59,266.09,265.85,269.05,271.55,275.67,280.81,283.83,284.69,284.22,283.05,281.89,279.18,278.08,277.93,278.46,278.16,278.83,277.03,273.09,272.32,270.6,271.16,272.13,275.9,279.8,282.92,285.9,288.23,289.15,290.56,292.75,294.36,294.74,296.36,295,294.56,292.9,289.48,287.09,285.61,283.6,283.45,282.11,280.99,279.15,276.95,274.37,270.91,266,261.68,257.57,251.89,247.26,244.05,241.01,238.23,237.51,237.88,238.4,236.19,233.49,228.64,222.33,217.06,214.36,213.44,216.92,222.77,232.61,240.79,247.13,251.49,255.01,255.95,256.31,257.19,258.34,259.08,258.79,256.64,254.1,249.58,246.15,243.97,242.16,240.33,237.82,231.86,220.2,202.8,179.21,152.26,123.63,95.886,70.758,49.226,32.618,20.187,12.006
114.14,121.78,127.09,128.65,126.43,121.97,117.29,114.98,115.21,117.02,123.16,131.7,140.86,150.31,160.21,167.56,174.45,181.32,187.12,192.59,198.22,204.04,211.36,216.95,222.02,227.9,230.85,234.44,239.82,244.88,251.59,259.93,268.93,276.76,284.48,290.91,296.27,300.76,303.31,306.77,307.79,308.52,308.89,308.04,306.12,303.53,301.54,298.82,295.51,292.25,289.38,288.26,287.81,290.3,292.99,297.23,301.34,305.02,307.24,308.31,306.11,305.44,305.22,304.86,304.45,307.03,308.71,311.88,316.03,318.26,318.81,318.77,318.72,319.01,317.69,317.85,318.65,319.7,319.3,319.75,317.46,313.19,311.62,309.32,309.1,309.5,312.97,316.62,319.9,323.27,325.67,326.84,327.93,329.64,330.52,330.38,331.28,329.81,329.51,328.11,325,322.94,321.78,320.24,320.18,318.96,318.05,316.25,314.13,311.75,308.03,302.69,298.23,293.96,288.26,283.65,280.76,278.02,275.16,274.32,274.39,273.85,270.2,266.06,259.55,251.63,245.05,240.95,239.16,242.26,248.32,258.89,267.67,274.54,279.41,282.93,283.58,283.94,284.68,286.16,287.76,288.67,287.83,286.57,283.02,280.02,277.95,275.85,273.63,270.87,264.75,253.53,236.7,213.32,185.8,155.58,124.91,95.626,69.152,47.304,30.119,18.049
131.69,140.42,146.93,149.6,148.04,144.18,139.71,137.45,137.59,139.29,145.16,153.39,161.79,170.36,179.75,186.39,193.04,199.78,205.4,210.89,216.58,222.15,228.99,234.18,238.93,244.84,248.29,252.53,259.11,265.26,273.16,282.45,292.03,300,307.67,313.82,318.92,323.18,325.73,329.04,330.06,330.64,330.78,330.11,328.16,325.84,324.23,322.01,319.59,317.16,315.25,314.76,314.97,317.91,320.98,325.27,329.26,333.04,335.41,336.69,334.87,334.59,334.82,334.81,334.47,336.53,337.56,339.88,342.9,344.23,344.34,344.42,344.95,346,345.52,346.48,347.91,349.32,348.79,348.94,346.21,341.81,339.31,336.53,335.69,335.7,339.08,342.69,346.33,350.28,352.92,354.53,355.5,356.89,357.13,356.52,356.5,354.84,354.52,353.28,350.59,348.92,348.22,347.29,347.37,346.16,345.27,343.37,341.23,338.96,335.08,329.72,325.47,321.42,316.13,311.78,309.28,306.74,303.77,302.65,302.31,300.69,296.06,290.98,283.43,274.7,267.47,262.46,260.01,262.66,268.64,279.24,287.98,294.82,299.74,302.76,302.9,303.07,303.48,305.17,307.52,309.57,310.01,310.01,307.51,304.99,303.02,300.69,298.21,295.44,289.73,279.87,264.88,243.24,216.75,186.46,154.07,121.43,90.366,63.264,41.098,24.783
142.86,153.29,161.7,166.34,166.36,164.02,160.6,158.85,159,160.42,165.4,172.43,179.08,185.66,193.41,198.59,204.38,210.54,215.81,221.36,227.35,232.96,239.54,244.62,249.37,255.43,259.54,264.41,272,279.15,288.07,298.08,308.03,316.11,323.68,329.57,334.42,338.44,341.05,344.15,345.3,345.87,345.89,345.43,343.47,341.4,339.98,338,336.19,334.25,333.08,333.04,333.82,336.94,340.19,344.35,347.94,351.51,353.69,354.94,353.36,353.3,354.02,354.43,354.43,356.28,357.1,359,361.29,362.24,362.27,362.6,363.62,365.16,365.21,366.5,368.17,369.7,368.91,368.71,365.72,361.37,358.13,355.04,353.76,353.51,356.84,360.3,364.17,368.45,371.01,372.77,373.43,374.38,374.01,373.04,372.29,370.69,370.57,369.7,367.84,366.67,366.51,366.18,366.28,364.83,363.6,361.23,358.75,356.24,352.08,346.69,342.68,338.94,334.38,330.58,328.77,326.7,324.14,323.13,322.82,320.46,315.42,309.83,301.61,292.4,284.68,278.89,275.81,277.84,283.52,293.62,302,308.54,313.28,315.6,315.22,315.13,315.12,316.87,319.69,322.59,324.03,324.97,323.34,321.25,319.34,316.86,314.3,311.74,306.88,298.95,286.53,267.56,243.17,213.9,180.82,145.72,110.74,78.844,51.963,31.505
146.33,159.22,170.27,177.59,180,179.83,178.08,177.2,177.48,178.66,182.58,187.99,192.41,196.65,202,205.29,209.75,214.89,219.42,224.78,230.91,236.63,243.08,248.27,253.41,259.92,264.94,270.57,279.01,287.04,296.75,307.36,317.49,325.68,333.15,338.75,343.24,346.78,349.04,351.44,352.37,352.64,352.39,352.21,350.51,348.96,348.03,346.57,345.53,344.1,343.59,344.02,345.39,348.62,352.01,356.04,359.1,362.27,364.1,365.08,363.62,363.65,364.86,365.78,366.3,368.19,369.11,370.89,372.64,373.26,373.13,373.39,374.38,375.7,375.7,376.81,378.33,379.8,378.81,378.37,375.41,371.49,367.93,364.89,363.59,363.3,366.74,370.09,374.05,378.51,380.97,382.86,383.38,384.14,383.48,382.55,381.3,379.92,380.13,379.65,378.52,377.72,377.89,377.88,377.8,375.9,374.18,371.36,368.67,366.17,362.09,357.11,353.63,350.47,346.76,343.45,342.16,340.35,338.25,337.38,337.22,334.47,329.4,323.64,315.07,305.6,297.3,290.75,287,288.15,293.36,302.59,310.44,316.64,321.22,323.09,322.47,322.32,322.03,323.89,326.89,330.23,332.29,333.67,332.56,330.68,328.71,326.08,323.49,321.14,317.27,311.23,301.41,285.21,263.2,235.42,202.34,165.68,127.76,92.042,61.285,37.327
141.59,157.4,171.59,182.18,187.67,190.31,190.74,191.12,191.78,192.82,195.79,199.58,201.88,203.93,206.76,208.06,210.92,214.8,218.15,223.04,229.09,234.91,241.34,246.81,252.68,259.84,265.94,272.42,281.57,290.36,300.62,311.82,322,330.39,337.77,343.16,347.32,350.38,352.33,354.11,354.92,355.21,354.96,355.15,353.86,352.77,352.05,350.93,350.23,349,348.69,349.14,350.64,353.62,356.72,360.33,362.75,365.44,366.95,367.75,366.52,366.83,368.58,370.16,371.47,373.79,375.17,377.23,378.86,379.42,379.25,379.35,379.98,380.68,380.38,381.05,382.19,383.4,382.2,381.57,378.7,375.21,371.56,368.73,367.59,367.35,370.83,373.87,377.73,382.11,384.36,386.31,386.86,387.72,387.18,386.51,385.05,383.97,384.53,384.31,383.82,383.28,383.71,383.78,383.36,380.96,378.62,375.2,372.18,369.6,365.78,361.46,358.76,356.52,353.83,351.25,350.66,349.09,347.48,346.72,346.7,343.8,338.91,333.27,324.7,315.21,306.51,299.27,294.79,294.92,299.33,307.31,314.4,320.12,324.41,325.92,325.12,324.86,324.22,325.91,328.87,332.24,334.65,336.25,335.53,333.82,331.7,328.88,326.1,323.75,320.63,316.16,308.74,295.24,275.81,249.94,217.63,180.41,140.7,102.34,68.705,42.053
