126,118,3210.918,127.521,415.843,130.157,852.075,98.197,277.943,45.451,116.408,83,394.453,78.5,585.94,49.003
122,118,3204.809,124.74,413.472,130.723,853.029,114.199,284.906,46.516,92.048,85,379.235,81.5,577.24,50.11
124,118,3201.548,116.877,418.245,123.696,858.556,99.327,281.439,48.946,119.296,85,403.287,81.5,589.57,51.773
120,119,3201.645,110.203,411.123,124.943,871.129,128.453,271.596,50.236,90.819,85.5,387.642,83,593.48,51.773
129,105,3195.58,105.983,415.964,126.394,864.107,131.56,281.347,53.234,87.489,86,377.436,83.5,595.83,51.773
119,104,3197.542,111.876,417.712,124.509,843.873,148.788,273.054,54.162,102.865,86,382.83,83.5,596.67,51.773
125,99,3196.191,111.038,414.615,131.446,844.549,137.07,280.11,55.345,86.473,86.5,377.292,84,586.58,52.883
122,122,3201.44,111.011,417.205,130.536,839.03,130.628,267.258,56.148,96.074,87,380.482,84.5,588.47,52.883
130,120,3205.45,85.041,417.168,131.724,832.516,155.581,284.301,55.715,106.495,87,398.163,84.5,590.63,53.439
129,117,3207.458,80.146,418.275,129.017,828.985,114.501,260.791,56.562,103.278,87.5,399.083,84.5,586.93,53.995
131,116,3209.164,83.639,416.579,131.943,840.555,119.879,263.764,56.19,86.34,88,414.791,84.5,587.49,53.995
130,126,3206.179,85.985,419.89,126.656,846.891,130.77,287.102,56.306,87.637,88,383.363,85.5,592.77,53.995
137,130,3207.055,84.386,422.335,136.893,848.223,132.303,262.015,57.935,102.761,88,404.591,86,589.26,54.551
127,128,3204.727,80.205,416.717,131.209,838.468,134.022,262.669,58.977,91.808,88.5,380.725,86.5,581.62,55.108
133,130,3204.294,86.553,427.687,130.642,850.263,118.451,264.91,59.343,96.111,88.5,385.453,86.5,600.48,55.108
135,126,3207.539,81.037,416.252,129.237,857.826,125.49,261.71,59.767,108.314,88.5,382.091,87,585.01,55.665
132,132,3206.184,79.903,424.598,131.735,854.684,105.987,256.099,61.116,86.397,89,394.335,87,586.07,55.665
117,149,3210.174,86.925,422.132,133.324,854.511,112.709,266.631,61.524,90.248,89,407.825,87,586.91,55.665
110,139,3212.276,89.519,417.859,128.971,854.358,111.68,256.053,62.156,112.709,89,384.154,87.5,560.7,60.696
116,144,3213.974,78.418,417.279,127.87,859.112,114.586,261.146,62.059,79.538,89.5,415.772,87.5,562.46,60.696
111,140,3216.395,77.979,417.89,126.418,855.434,132.406,262.667,61.823,93.691,90,407.367,88,564.2,60.696
111,148,3216.388,80.237,414.28,126.317,855.547,132.13,267.865,62.091,105.351,90,382.068,88.5,565.1,61.257
134,119,3221.206,87.626,421.399,125.376,857.842,144.991,263.996,63.38,104.694,90.5,400.294,88.5,566.54,61.818
137,121,3220.719,75.784,443.396,137.602,854.528,146.377,267.513,64.522,88.289,91,408.432,88.5,569.62,61.818
134,123,3216.567,81.38,432.529,140.478,862.255,166.484,262.044,64.954,104.089,91,411.674,88.5,562.96,62.38
138,116,3217.955,83.254,432.5,143.438,855.699,148.608,283.123,65.452,99.976,91.5,415.944,88.5,567.88,62.38
135,122,3221.261,75.659,435.285,116.888,859.484,139.948,287.151,65.723,102.572,91.5,400.922,89,556.77,62.942
137,129,3220.261,80.497,435.534,155.599,856.731,138.952,288.54,67.114,113.783,91.5,401.947,89,593.35,62.942
133,124,3220.649,79.287,439.415,152.312,861.769,138.542,268.503,68.112,85.57,92,409.591,89,569.13,63.504
133,118,3218.662,80.912,441.763,153.131,851.609,162.124,286.051,68.545,109.784,92,412.988,89,558.55,64.067
128,126,3218.858,70.571,438.873,148.895,852.761,129.752,272.526,69.776,79.394,92.5,407.213,90,597.99,65.194
131,129,3203.665,105.703,424.241,136.965,853.993,136.617,258.951,70.548,84.15,92.5,411.848,90,598.23,65.758
126,119,3197.447,104.373,414.027,138.032,857.896,137.567,276.889,70.665,105.669,92.5,389.578,90.5,564.69,67.453
139,120,3198.377,111.937,420.202,141.747,854.267,133.374,259.201,70.91,107.023,92.5,408.64,90.5,563.28,68.019
130,115,3199.823,107.147,423.271,124.481,849.639,146.097,261.503,72.102,86.35,93,412.597,90.5,568.11,68.019
127,114,3199.341,96.115,408.241,117.255,850.475,137.856,266.943,72.1,103.178,93,413.656,90.5,596.72,68.019
